Date,MOM
2020-01-01,0.01
2020-01-02,-0.12
2020-01-03,0.05
2020-01-06,-0.27
2020-01-07,0.22
2020-01-08,0.14
2020-01-09,0.56
2020-01-10,-0.09
2020-01-13,0.33
2020-01-14,0.48
2020-01-15,0.44
2020-01-16,-0.12
2020-01-17,0.4
2020-01-20,0.03
2020-01-21,0.6
2020-01-22,0.48
2020-01-23,0.14
2020-01-24,0.6
2020-01-27,-0.38
2020-01-28,-0.01
2020-01-29,0.35
2020-01-30,0.17
2020-01-31,0.11
2020-02-03,0.53
2020-02-04,0.34
2020-02-05,-0.21
2020-02-06,-0.19
2020-02-07,0.24
2020-02-10,0.49
2020-02-11,0.29
2020-02-12,-0.34
2020-02-13,0.76
2020-02-14,0.22
2020-02-17,0.01
2020-02-18,0.59
2020-02-19,0.7
2020-02-20,-0.41
2020-02-21,0.42
2020-02-24,-0.63
2020-02-25,0.07
2020-02-26,0.06
2020-02-27,-0.36
2020-02-28,-0.47
2020-03-02,1.07
2020-03-03,1.96
2020-03-04,0.61
2020-03-05,0.48
2020-03-06,-0.48
2020-03-09,1.87
2020-03-10,-0.11
2020-03-11,-0.29
2020-03-12,0.29
2020-03-13,0.05
2020-03-16,-0.68
2020-03-17,-0.74
2020-03-18,-0.42
2020-03-19,0.46
2020-03-20,-0.8
2020-03-23,-0.72
2020-03-24,-1.17
2020-03-25,-0.43
2020-03-26,0.9
2020-03-27,1.44
2020-03-30,1.34
2020-03-31,-0.61
2020-04-01,0.54
2020-04-02,-0.95
2020-04-03,1.38
2020-04-06,-1.66
2020-04-07,-1.98
2020-04-08,0.13
2020-04-09,-0.96
2020-04-10,-0.02
2020-04-13,-0.07
2020-04-14,2.13
2020-04-15,3.58
2020-04-16,1.5
2020-04-17,-2.12
2020-04-20,1.08
2020-04-21,2.35
2020-04-22,-0.52
2020-04-23,-1.4
2020-04-24,1.21
2020-04-27,-1.08
2020-04-28,-2.08
2020-04-29,-4.25
2020-04-30,1.55
2020-05-01,0.77
2020-05-04,1.79
2020-05-05,-0.31
2020-05-06,1.36
2020-05-07,-0.38
2020-05-08,-0.43
2020-05-11,1.16
2020-05-12,1.21
2020-05-13,2.18
2020-05-14,-0.24
2020-05-15,0.14
2020-05-18,-2.9
2020-05-19,0.6
2020-05-20,0.33
2020-05-21,0.51
2020-05-22,0.58
2020-05-25,-0.63
2020-05-26,-3.69
2020-05-27,-3.88
2020-05-28,0.75
2020-05-29,2.69
2020-06-01,-1.47
2020-06-02,-2.38
2020-06-03,-2.95
2020-06-04,-0.49
2020-06-05,-4.32
2020-06-08,-2.22
2020-06-09,2.54
2020-06-10,2.29
2020-06-11,3.66
2020-06-12,-0.88
2020-06-15,0.67
2020-06-16,-1.04
2020-06-17,1.91
2020-06-18,0.39
2020-06-19,0.73
2020-06-22,0.79
2020-06-23,-0.39
2020-06-24,1.57
2020-06-25,0.46
2020-06-26,0.76
2020-06-29,-0.91
2020-06-30,0.61
2020-07-01,0.81
2020-07-02,-0.65
2020-07-03,0.72
2020-07-06,-0.36
2020-07-07,0.61
2020-07-08,1.13
2020-07-09,1.12
2020-07-10,-0.66
2020-07-13,-0.5
2020-07-14,-0.33
2020-07-15,-0.49
2020-07-16,0.28
2020-07-17,0.97
2020-07-20,1.27
2020-07-21,-1.21
2020-07-22,1.1
2020-07-23,0.33
2020-07-24,-0.6
2020-07-27,1.87
2020-07-28,-0.6
2020-07-29,0.13
2020-07-30,0.62
2020-07-31,0.77
2020-08-03,0.62
2020-08-04,-1.63
2020-08-05,-0.84
2020-08-06,0.8
2020-08-07,0.88
2020-08-10,-1.37
2020-08-11,-1.9
2020-08-12,0.33
2020-08-13,0.95
2020-08-14,0.01
2020-08-17,1.63
2020-08-18,0.38
2020-08-19,0.14
2020-08-20,0.64
2020-08-21,0.35
2020-08-24,-0.83
2020-08-25,0.36
2020-08-26,0.61
2020-08-27,-0.72
2020-08-28,-0.42
2020-08-31,1.11
2020-09-01,0.92
2020-09-02,0.16
2020-09-03,-2.46
2020-09-04,-1.25
2020-09-07,0.62
2020-09-08,0.08
2020-09-09,0.95
2020-09-10,-0.31
2020-09-11,0.62
2020-09-14,0.1
2020-09-15,0.55
2020-09-16,-0.16
2020-09-17,0.29
2020-09-18,2.19
2020-09-21,1.61
2020-09-22,0.59
2020-09-23,0.37
2020-09-24,0.34
2020-09-25,0.49
2020-09-28,-1.06
2020-09-29,1.53
2020-09-30,-0.42
2020-10-01,1.09
2020-10-02,-0.32
2020-10-05,-0.6
2020-10-06,-2.18
2020-10-07,0.85
2020-10-08,-0.94
2020-10-09,0.64
2020-10-12,1.36
2020-10-13,1.54
2020-10-14,0.25
2020-10-15,0.17
2020-10-16,0.1
2020-10-19,-0.75
2020-10-20,-0.7
2020-10-21,0.16
2020-10-22,-0.63
2020-10-23,-1.64
2020-10-26,0.25
2020-10-27,2.23
2020-10-28,0.27
2020-10-29,1
2020-10-30,-0.56
2020-11-02,-0.58
2020-11-03,-1.08
2020-11-04,1.55
2020-11-05,0.78
2020-11-06,0.6
2020-11-09,-10.87
2020-11-10,-5.18
2020-11-11,1.22
2020-11-12,0.86
2020-11-13,-0.76
2020-11-16,-3.44
2020-11-17,-0.42
2020-11-18,-0.29
2020-11-19,1.4
2020-11-20,0.47
2020-11-23,-1.62
2020-11-24,-3.68
2020-11-25,0.83
2020-11-26,0.99
2020-11-27,0.83
2020-11-30,2.04
2020-12-01,-1.82
2020-12-02,-0.64
2020-12-03,-1
2020-12-04,-1
2020-12-07,0.96
2020-12-08,0.88
2020-12-09,-0.53
2020-12-10,0.55
2020-12-11,1.31
2020-12-14,0.07
2020-12-15,-0.62
2020-12-16,0.35
2020-12-17,0.38
2020-12-18,1.14
2020-12-21,1.68
2020-12-22,0.14
2020-12-23,-1.11
2020-12-24,-0.22
2020-12-25,-0.06
2020-12-28,0.6
2020-12-29,0.12
2020-12-30,0.08
2020-12-31,0.39
